Sampling method,testcase,Conformations generated,Unique conformers generated,time,thread_avg,Duplicates after optimization,Incorrect topology after optimization,High-energy conformations (>15 kcal/mol),Low-energy conformations (<15 kcal/mol),"Time per unique
low-energy conformer, s","Time per unique
conformer, s"
XTB metadynamics,csd_CAZVEF,426,426,602.0182573590428,1.0,102,0,159,165,3.648595499145714,1.8580810412316136
XTB metadynamics,csd_OHIDUE,109,109,603.3262525554746,1.0,1,0,86,22,27.42392057070339,5.586354190328469
XTB metadynamics,csd_RUQVAB,174,174,602.5639638565481,1.0,36,0,108,30,20.085465461884937,4.366405535192377
XTB metadynamics,pdb_1EHL,198,198,602.4395654071122,1.0,72,0,123,3,200.8131884690374,4.781266392119939
XTB metadynamics,pdb_3I6O,130,130,602.9643847215921,1.0,0,0,66,64,9.421318511274876,4.638187574781478
XTB metadynamics,csd_WUMKIY,154,154,602.6344866268337,1.0,3,0,34,117,5.150722107921656,3.9909568650783687
XTB metadynamics,pdb_2ASP,59,59,604.639907727018,1.0,0,0,48,11,54.96726433881982,10.248134029271492
XTB metadynamics,csd_DIGTOC,78,78,603.3117304425687,1.0,0,0,28,50,12.066234608851373,7.7347657749047265
XTB metadynamics,pdb_1BZL,104,104,603.2257427666336,1.0,0,0,100,4,150.8064356916584,5.800247526602247
XTB metadynamics,pdb_2ASO,54,54,605.6846499890089,1.0,0,0,40,14,43.263189284929204,11.216382407203868
XTB metadynamics,pdb_2ASM,56,56,604.8276763558388,1.0,0,0,35,21,28.80131792170661,10.800494220639978
XTB metadynamics,csd_TERDAW,99,99,603.2216117680073,1.0,0,0,62,37,16.303286804540736,6.093147593616235
XTB metadynamics,csd_VOKBIG,39,39,607.0601066146046,1.0,0,0,21,18,33.72556147858914,15.565643759348836
XTB metadynamics,csd_YAGVEH,99,99,603.3174776248634,1.0,0,0,88,11,54.84704342044213,6.09411593560468
XTB metadynamics,csd_RECRAT,162,162,602.9334458056837,1.0,13,0,79,70,8.613334940081197,4.046533193326736
XTB metadynamics,csd_NUCZUH,74,74,603.9390231594443,1.0,0,0,57,17,35.52582489173202,8.161338150803301
XTB metadynamics,csd_XACJAM,90,90,604.0797231774777,1.0,1,0,54,35,17.25942066221365,6.78741261997166
XTB metadynamics,pdb_1GHG,60,60,605.6723704114556,1.0,0,0,60,0,inf,10.094539506857593
XTB metadynamics,pdb_1XBP,135,135,602.645912995562,1.0,1,0,74,60,10.044098549926032,4.497357559668373
XTB metadynamics,pdb_1YND,50,50,605.7100708819926,1.0,0,0,46,4,151.42751772049814,12.114201417639851
XTB metadynamics,csd_ICYSPA,35,35,607.491469450295,1.0,0,0,24,11,55.22649722275409,17.356899127151284
XTB metadynamics,csd_XAGXIN,287,287,602.0982469301671,1.0,12,0,70,205,2.937064619171547,2.189448170655153
XTB metadynamics,csd_FAGFEZ,113,113,603.3906561080366,1.0,0,0,92,21,28.73288838609698,5.339740319540147
XTB metadynamics,csd_YIVNOG,81,81,603.8201328460127,1.0,0,0,76,5,120.76402656920254,7.454569541308799
XTB metadynamics,csd_REMCOC,210,210,602.414997112006,1.0,26,0,18,166,3.629006006698831,3.2739945495217713
XTB metadynamics,pdb_1KHR,179,179,602.6987781170756,1.0,0,0,146,33,18.26359933688108,3.3670322799836625
